entity,count
Benin,270
Borgou,63
Donga,13
Parakou,12
Atakora,9
Porga,8
Kouffo,8
Malanville,8
Kandi,2
Segbana,2
Akoko,2
Porto-Novo,2
Natitingou,2
Banikoara,2
Toffo,1
Kpodji,1
West African States Porto-Novo,1
Tchoukou,1
Couffo,1
