SQLDATE,Actor1Name,Actor2Name,EventCode,EventBaseCode,EventRootCode,AvgTone,NumArticles,ActionGeo_FullName,text_input
2025-12-14,BENINESE,NIGERIAN,22,22,2,-3.92156862745098,1,Benin,BENINESE 22 22 2 NIGERIAN Benin
2026-04-05,BENIN,,26,26,2,1.78571428571428,10,Benin,BENIN 26 26 2 Benin
2026-04-05,COTONOU,CIVIL SOCIETY,26,26,2,1.78571428571428,5,Benin,COTONOU 26 26 2 CIVIL SOCIETY Benin
2025-06-03,BENIN,JUDICIARY,15,15,1,0.49079754601227,1,Benin,BENIN 15 15 1 JUDICIARY Benin
2026-03-09,BENIN,NIGERIA,32,32,3,-5.15021459227467,10,"Borgou, Borgou, Benin","BENIN 32 32 3 NIGERIA Borgou, Borgou, Benin"
2025-01-19,BENIN,BUSINESS,18,18,1,1.73410404624278,4,Benin,BENIN 18 18 1 BUSINESS Benin
2025-01-12,BENIN,,72,72,7,-7.22891566265062,2,"Alibori, Alibori, Benin","BENIN 72 72 7 Alibori, Alibori, Benin"
2025-08-24,BENINESE,,174,174,17,-2.31481481481482,7,"Ouidah, Atlantique, Benin","BENINESE 174 174 17 Ouidah, Atlantique, Benin"
2026-04-11,BENIN,POLICE FORCE,152,152,15,-1.54826958105647,4,"Bariba, Benin (general), Benin","BENIN 152 152 15 POLICE FORCE Bariba, Benin (general), Benin"
2026-04-21,BENIN,,73,73,7,-4.31654676258993,2,Benin,BENIN 73 73 7 Benin
2026-04-21,BENIN,POLICE,73,73,7,-4.31654676258993,2,Benin,BENIN 73 73 7 POLICE Benin
2025-04-20,BENIN,,31,31,3,-0.83565459610028,2,Benin,BENIN 31 31 3 Benin
2025-04-20,BENIN,ADMINISTRATION,31,31,3,-0.83565459610028,2,Benin,BENIN 31 31 3 ADMINISTRATION Benin
2026-04-09,BENIN,,831,83,8,-2.46913580246914,10,Benin,BENIN 831 83 8 Benin
2026-04-09,BENIN,PRESIDENT,831,83,8,2.02702702702703,5,Benin,BENIN 831 83 8 PRESIDENT Benin
2026-04-09,BENIN,PRESIDENT,874,87,8,2.02702702702703,4,Benin,BENIN 874 87 8 PRESIDENT Benin
2025-03-29,BENIN,,18,18,1,-8.4656084656085,1,Benin,BENIN 18 18 1 Benin
2025-03-29,BENIN,NIGERIA,18,18,1,-8.4656084656085,1,Benin,BENIN 18 18 1 NIGERIA Benin
2025-09-06,BENIN,GOODLUCK JONATHAN,25,25,2,2.45098039215686,4,Benin,BENIN 25 25 2 GOODLUCK JONATHAN Benin
2025-01-01,BENIN,NIGER,140,140,14,-5.58139534883721,10,Benin,BENIN 140 140 14 NIGER Benin
2025-01-01,BENINESE,NIGERIEN,114,114,11,-5.58139534883721,2,Benin,BENINESE 114 114 11 NIGERIEN Benin
2025-12-06,BENIN,POLICE,124,124,12,-5.41176470588235,4,Benin,BENIN 124 124 12 POLICE Benin
2026-04-01,BENIN,,114,114,11,-11.2359550561798,2,Benin,BENIN 114 114 11 Benin
2026-04-01,BENIN,INVESTOR,150,150,15,1.78571428571429,4,Benin,BENIN 150 150 15 INVESTOR Benin
2026-04-01,BENIN,TOURIST,150,150,15,1.78571428571429,4,Benin,BENIN 150 150 15 TOURIST Benin
2025-01-11,BENIN,,241,24,2,-2.39520958083833,10,Benin,BENIN 241 24 2 Benin
2025-01-11,BENIN,,26,26,2,2.40963855421687,2,Benin,BENIN 26 26 2 Benin
2025-01-11,BENIN,,62,62,6,-3.05458187280922,1,Benin,BENIN 62 62 6 Benin
2025-01-11,BENIN,GANG,1821,182,18,-1.69082125603864,2,Benin,BENIN 1821 182 18 GANG Benin
2025-01-03,BENIN,,163,163,16,-2.99401197604791,10,Benin,BENIN 163 163 16 Benin
2025-12-27,BENIN,BOTSWANA,128,128,12,-2.60416666666667,10,Benin,BENIN 128 128 12 BOTSWANA Benin
2025-09-13,BENIN,PARTY MEMBER,128,128,12,4.82374768089054,4,Benin,BENIN 128 128 12 PARTY MEMBER Benin
2025-09-27,BENIN,,195,195,19,-4.05405405405406,3,Benin,BENIN 195 195 19 Benin
2026-03-14,COTONOU,NATIONALS,73,73,7,-1.50375939849624,2,Benin,COTONOU 73 73 7 NATIONALS Benin
2026-03-06,BENIN,,62,62,6,-6.21468926553672,10,"Karimama, Alibori, Benin","BENIN 62 62 6 Karimama, Alibori, Benin"
2026-03-17,BENIN,,128,128,12,0.451807228915659,3,Benin,BENIN 128 128 12 Benin
2026-03-18,BENIN,,128,128,12,-1.49253731343283,10,Benin,BENIN 128 128 12 Benin
2026-02-15,BENIN,NIGERIA,186,186,18,-9.62897526501771,2,Benin,BENIN 186 186 18 NIGERIA Benin
2025-06-08,BENIN,CONGRESS,62,62,6,3.21428571428571,1,Benin,BENIN 62 62 6 CONGRESS Benin
2026-03-23,BENIN,MAIN OPPOSITION,831,83,8,0.21052631578947,10,Benin,BENIN 831 83 8 MAIN OPPOSITION Benin
2026-03-23,BENIN,AL QAEDA,1123,112,11,-3.93258426966292,3,Benin,BENIN 1123 112 11 AL QAEDA Benin
2026-03-23,BENIN,POLICE FORCE,138,138,13,-3.93258426966292,2,Benin,BENIN 138 138 13 POLICE FORCE Benin
2025-12-13,BENIN,NIGERIAN,73,73,7,-0.42000763650248,6,Benin,BENIN 73 73 7 NIGERIAN Benin
2025-12-08,BENIN,,22,22,2,-2.26700251889169,2,Benin,BENIN 22 22 2 Benin
2025-12-08,BENIN,,181,181,18,-2.01863354037267,2,Benin,BENIN 181 181 18 Benin
2025-12-08,BENIN,,22,22,2,-2.56410256410256,2,Benin,BENIN 22 22 2 Benin
2025-12-08,BENIN,,22,22,2,-0.8,10,Benin,BENIN 22 22 2 Benin
2025-12-08,BENIN,,86,86,8,2.45901639344263,10,Benin,BENIN 86 86 8 Benin
2025-12-08,BENIN,,181,181,18,-2.3688663282572,10,Benin,BENIN 181 181 18 Benin
2025-12-08,BENIN,,831,83,8,-2.28818800247372,5,Benin,BENIN 831 83 8 Benin
2025-12-08,BENIN,NIGERIAN,22,22,2,2.02247191011236,2,Benin,BENIN 22 22 2 NIGERIAN Benin
2025-12-08,BENIN,BENIN,181,181,18,-2.09580838323354,10,Benin,BENIN 181 181 18 BENIN Benin
2025-12-08,BENIN,NIGERIAN,22,22,2,2.0979020979021,2,Benin,BENIN 22 22 2 NIGERIAN Benin
2025-12-08,BENIN,NIGERIAN,22,22,2,1.04166666666666,2,Benin,BENIN 22 22 2 NIGERIAN Benin
2025-12-08,BENIN,ECOWAS,86,86,8,1.7921146953405,10,Benin,BENIN 86 86 8 ECOWAS Benin
